scenario,t,unit,b,p_ch,p_dis,p_net,soc,soc_frac,load_mw,smp_won_per_kwh,p_slack_base,p_slack_ess
shoulder,14,0,29,0.0,1.5754387281689717e-11,1.5754387281689717e-11,0.16748358894031856,0.5001396532189049,5.9168264578950005,149.8,6.056509701249743,6.028622783298993
shoulder,15,0,29,0.0,1.0222987527965182e-10,1.0222987527965182e-10,0.16747891182652797,0.5001256864172373,6.07242054351,152.34,6.219795954203662,6.189152091693682
shoulder,16,0,29,0.0,2.4063030711113965e-10,2.4063030711113965e-10,0.1674742347548195,0.5001117197412355,6.219512220075001,154.47,6.374361969344143,6.341088258433134
shoulder,17,0,29,0.0,2.517996514537249e-10,2.517996514537249e-10,0.1674695576693537,0.5000977530241515,6.4210193145600005,154.67,6.58642982247944,6.549518969571238
shoulder,18,0,29,0.0,2.0916734545048476e-10,2.0916734545048476e-10,0.1674648807028961,0.5000837866624499,6.479685937005001,154.25,6.648241247318543,6.610209220727548
shoulder,19,0,29,0.0,2.520134167506706e-10,2.520134167506706e-10,0.1674602039118079,0.5000698208244366,6.523048223160001,154.81,6.6939483571612595,6.655163578855862
shoulder,20,0,29,0.0,1.7896947092185332e-10,1.7896947092185332e-10,0.16745552720636905,0.5000558552421894,6.476284973385001,153.91,6.644657109920821,6.606749616223657
shoulder,21,0,29,0.0,2.9867241453439784e-11,2.9867241453439784e-11,0.16745085070804414,0.5000418902784262,6.297734383335,150.45,6.45663943785309,6.421931585697815
shoulder,22,0,29,6.202465045994445e-11,0.0,-6.202465045994445e-11,0.16744617449450774,0.5000279261650985,6.09792777066,147.35,6.246585174362836,6.215433554201065
shoulder,23,0,29,1.8204640848134387e-10,0.0,-1.8204640848134387e-10,0.16744149850305723,0.500013962714964,5.96529018948,144.91,6.107345806753624,6.078481267131528
summer_peak,0,0,29,0.10276629115756797,0.0,-0.10276629115756797,0.1674368227577919,0.499999999999988,6.879299162355001,132.98,7.070123690349532,7.139952099966647
summer_peak,1,0,29,0.1270990808884318,0.0,-0.1270990808884318,0.15338896851832284,0.4580502842561882,6.193154752020001,127.95,6.346650646333878,6.45186639486238
