n_ess,run,gen,batch_size,eval_cumulative,gbest_f,mean_f,std_f,worst_f,elapsed_s,coef_cache_hit_rate_cumulative
1,0,132,11,2814,-3962475.5809147023,-3962005.0058480175,1488.0215379133267,-3957299.4685821533,3.2058689999976195,0.8508839354342813
1,0,133,11,2825,-3962475.5817404073,-3962475.566935628,0.01788471374239518,-3962475.5282567777,2.8264487000124063,0.8515116724071948
1,0,134,11,2836,-3962475.5817404073,-3962475.5753285945,0.004257313505940973,-3962475.5660554525,2.8894789000041783,0.8521341463414634
1,0,135,11,2847,-3962475.5817404073,-3962475.561333896,0.04077469788574293,-3962475.434989119,2.874967400013702,0.8527514231499052
1,0,136,11,2858,-3962475.5817404073,-3962475.556290241,0.038835991926330415,-3962475.442262588,2.8278847000037786,0.8533635676492819
1,0,137,11,2869,-3962475.5817404073,-3962475.5717500825,0.00926314924881623,-3962475.5495107844,2.819824600010179,0.8539706435829884
1,0,138,10,2879,-3962475.5817404073,-3962475.5580460154,0.031285219596365384,-3962475.49620522,3.10041210000054,0.8545181852268466
1,0,139,10,2889,-3962475.5823148247,-3962475.5760048116,0.004367090329709583,-3962475.5676380135,2.699209799990058,0.8550616361598805
1,0,140,10,2899,-3962475.5823148247,-3961957.9123852365,1552.9934135911835,-3957298.932144478,3.0302186000044458,0.8556010420543357
1,0,141,10,2909,-3962475.5823148247,-3962475.576131356,0.004975716104287611,-3962475.5671414398,3.031892200000584,0.8561364479050797
1,0,142,10,2919,-3962475.5823148247,-3962475.570212522,0.015711415907317818,-3962475.5259206463,2.695972499990603,0.8566678980421131
1,0,143,10,2929,-3962475.5823148247,-3962475.5721302205,0.010877717014196604,-3962475.5417829435,2.7418207000009716,0.8571954361428046
1,0,144,10,2939,-3962475.5823148247,-3961957.899706857,1553.0300340617603,-3957298.80960468,2.732983800000511,0.8577191052438577
1,0,145,10,2949,-3962475.5823148247,-3962475.5741202845,0.0062572368581088784,-3962475.5585835576,2.724321499990765,0.8582389477530142
1,0,146,10,2959,-3962475.5823148247,-3962475.5739892707,0.00506237833145563,-3962475.563687751,3.028765499999281,0.8587550054605023
1,0,147,10,2969,-3962475.5823148247,-3962475.5682313493,0.01428478356205381,-3962475.5289446656,2.7123415999813005,0.8592673195502357
1,0,148,10,2979,-3962475.5823148247,-3962475.5702068657,0.011985822676442201,-3962475.5366010964,2.738578399992548,0.8597759306107697
1,0,149,10,2989,-3962475.5823148247,-3962475.5736705856,0.01040096951866204,-3962475.543842463,2.7313564000069164,0.8602808786460209
1,0,150,9,2998,-3962475.5823148247,-3962475.5736465654,0.010068388714291075,-3962475.5477354415,2.7487538999994285,0.8607322325915291
1,0,151,9,3007,-3962475.5823148247,-3962475.577459615,0.0036642185396008643,-3962475.5704294816,2.7194138999911956,0.861180679785331
1,0,152,9,3016,-3962475.5823148247,-3962475.578215929,0.002517114002751569,-3962475.5739555117,2.6505707000033,0.8616262482168331
1,0,153,9,3025,-3962475.5823148247,-3962475.5756321196,0.003691692207581855,-3962475.570473263,2.649802300002193,0.8620689655172413
1,0,154,9,3034,-3962475.5823148247,-3962475.5748171723,0.006217398805655872,-3962475.5601989925,2.611745100002736,0.8625088589652729
1,0,155,9,3043,-3962475.5823148247,-3962475.574159224,0.00901683515992005,-3962475.550478244,2.6268539000011515,0.8629459554927588
1,0,156,9,3052,-3962475.5823148247,-3962475.5749787744,0.004914615270319055,-3962475.566378949,2.665455899987137,0.8633802816901408
1,0,157,9,3061,-3962475.5823148247,-3962475.5759105277,0.007923224228454737,-3962475.5603069942,2.614166999992449,0.8638118638118638
1,0,158,9,3070,-3962475.5823148247,-3962475.5735512185,0.008739929777013688,-3962475.5497213174,2.6048354000085965,0.8642407277816655
1,0,159,9,3079,-3962475.5823148247,-3962475.577639835,0.003143119401034379,-3962475.569440592,2.669527299993206,0.8646668991977677
1,0,160,9,3088,-3962475.5823148247,-3962475.5776761225,0.002891969667195045,-3962475.571913887,2.650637899991125,0.8650904033379694
1,0,161,9,3097,-3962475.5823148247,-3962475.576345881,0.003238628394987559,-3962475.570561666,2.710870499984594,0.8655112651646447
1,0,162,8,3105,-3962475.5823148247,-3962475.5736250756,0.005737199663032853,-3962475.5646970347,1.8930407999723684,0.8658831662633945
1,0,163,8,3113,-3962475.5823148247,-3962475.562534959,0.03801979807929421,-3962475.4627557397,1.6309203000273556,0.8662530162013099
1,0,164,8,3121,-3962475.5823148247,-3962475.579538389,0.0015512023310259148,-3962475.576486012,1.6676519999746233,0.8666208319009969
1,0,165,8,3129,-3962475.5823148247,-3962475.577123695,0.005097369922486999,-3962475.564314468,1.6518421999935526,0.8669866300994172
1,0,166,8,3137,-3962475.5823148247,-3962475.5767428265,0.004719640023158321,-3962475.5650727116,1.913894999976037,0.8673504273504273
1,0,167,8,3145,-3962475.5823148247,-3962475.5772025753,0.0036124962576578644,-3962475.5692595914,1.6341260000190232,0.8677122400272759
1,0,168,8,3153,-3962475.5823148247,-3962475.54933347,0.04327209385334745,-3962475.4368066937,1.6612950999988243,0.8680720843250596
1,0,169,8,3161,-3962475.5823148247,-3962475.575135882,0.006378471142129572,-3962475.562594222,1.984630399994785,0.86842997626314
1,0,170,8,3169,-3962475.5823148247,-3962475.571532144,0.010948221166389426,-3962475.552721776,1.8924477000255138,0.8687859316875212
