point_id,b,S,E,solution_label,coefficient_round,scenario,t,p_center_mw,P_net_mw,Q_mvar,p_slack_mw,line_loss_mw,a_P,a_Q,b_PP,b_QQ,b_PQ,matrix_rank,lambda_min_cost,lambda_max_cost,solver,status,objective,lp_pk_proxy_mw
P1_old_full_opt,15,0.176,0.419,round1,round1,winter_peak,4,-0.02394325727267678,-0.023940718661032354,0.001152361999530567,6.299625096789213,0.15139830787805353,-0.06052386952097234,-0.03416038714545515,0.00969717552625749,0.021277700609514522,0.006100789911500057,5,0.008942818163945706,0.022032057971826304,CLARABEL,optimal,8.077530548573446,8.077530548573446
P1_old_full_opt,15,0.176,0.419,round1,round1,winter_peak,5,-0.025791030852485824,-0.02578856967628068,0.001166356472800788,6.331074812004645,0.152942262879111,-0.06079552625683466,-0.03435656014943845,0.010885216817975888,0.021434704028162256,0.00631010483183479,5,0.01001363828323149,0.022306282562906656,CLARABEL,optimal,8.077530548573446,8.077530548573446
P1_old_full_opt,15,0.176,0.419,round1,round1,winter_peak,6,-0.028213495354621268,-0.02821169306686417,0.0012461520925997106,6.496416531775614,0.16111698015546344,-0.06244241981437644,-0.035343659046685114,0.012475105286980261,0.021717940916040103,0.006769071432001812,5,0.01136829609576571,0.022824750107254654,CLARABEL,optimal,8.077530548573446,8.077530548573446
P1_old_full_opt,15,0.176,0.419,round1,round1,winter_peak,7,-0.03148140775644071,-0.031481348038998276,0.0014289767006567737,6.868289217473115,0.18027085174487908,-0.06622511740515374,-0.03755896288009305,0.014846512799680479,0.022178714086665212,0.007687726852598471,5,0.013200779487912567,0.023824447398433125,CLARABEL,optimal,8.077530548573446,8.077530548573446
P1_old_full_opt,15,0.176,0.419,round1,round1,winter_peak,8,-0.03625147430666856,-0.03625592414725069,0.0017898854894221944,7.492643173881268,0.21488413720738475,-0.07263582636753547,-0.04128545950012376,0.01886096882695677,0.022797109137415318,0.009494731105957247,5,0.015689897047046267,0.02596818091732582,CLARABEL,optimal,8.077530548573446,8.077530548573446
P1_old_full_opt,15,0.176,0.419,round1,round1,winter_peak,9,-0.028980559671265255,-0.02892609816431068,0.0032184956582074964,8.319638822778264,0.265283467197833,-0.082172442314252,-0.046500428740180184,0.012122211962220238,0.023438549223878377,0.009343942593415634,5,0.010442656964282697,0.025118104221815922,CLARABEL,optimal,8.077530548573446,8.077530548573446
P1_old_full_opt,15,0.176,0.419,round1,round1,winter_peak,10,0.17594656985517496,0.17594605718434217,0.0043370353645752185,8.358197042407909,0.2655486951048636,-0.08469894424974664,-0.04928953591294502,0.021281415846305836,0.026793347000053595,-0.001592861290204396,5,0.02116864511020641,0.026906117736153024,CLARABEL,optimal,8.077530548573446,8.077530548573446
P1_old_full_opt,15,0.176,0.419,round1,round1,winter_peak,11,0.14567820752636737,0.1456447851496801,0.010323607958286038,8.351492164518033,0.265093544825383,-0.08430483949646515,-0.0487913952817232,0.021538880884850675,0.026571393354921133,-0.0031632854563394862,5,0.021083077369489577,0.02702719687028223,CLARABEL,optimal,8.077530548573446,8.077530548573446
P1_old_full_opt,15,0.176,0.419,round1,round1,winter_peak,12,-0.0011256512446907174,-0.0015641211610042324,0.006200326830907641,8.33455295584331,0.26575821457166826,-0.08234145319612524,-0.04656750274184812,-6.71960902029379e-05,0.02186639408859873,0.00151025026476306,5,-9.316264192124852e-05,0.021892360640317042,CLARABEL,optimal,8.077530548573446,8.077530548573446
P1_old_full_opt,15,0.176,0.419,round1,round1,winter_peak,13,-0.06489691505925116,-0.06479676087466851,0.002068608096065191,8.009971682970725,0.2462425369822721,-0.07773550822170171,-0.04441487456549356,0.022829193281401868,0.02454380151636568,0.011395438070727517,5,0.017924642440990617,0.02944835235677693,CLARABEL,optimal,8.077530548573446,8.077530548573446
P1_old_full_opt,15,0.176,0.419,round1,round1,winter_peak,14,-0.059630749980584964,-0.0595332009164453,0.0023557416157395277,8.231997519958052,0.26012105940046537,-0.0801962700089845,-0.04576048246446746,0.023375095413474864,0.024451551545618937,0.012157864387622954,5,0.01781061047072326,0.03001603648837054,CLARABEL,optimal,8.077530548573446,8.077530548573446
