method,M,point_id,scenario,t,q_lp,q_star,abs_err,rel_err,inaccurate
pwl,1,P3_dev_run0,shoulder,21,5.312926873619622e-11,0.0,5.312926873619622e-11,,False
pwl,1,P3_dev_run0,shoulder,22,5.2796832472635293e-11,0.0,5.2796832472635293e-11,,False
pwl,1,P3_dev_run0,shoulder,23,6.817986634034953e-11,0.0,6.817986634034953e-11,,False
pwl,2,P1_old_full_opt,summer,0,0.04715905786783543,0.0,0.04715905786783543,,False
pwl,2,P1_old_full_opt,summer,1,0.0028706442055568067,0.0,0.0028706442055568067,,False
pwl,2,P1_old_full_opt,summer,2,1.5091406805136315e-10,0.0,1.5091406805136315e-10,,False
pwl,2,P1_old_full_opt,summer,3,0.02499999999904697,0.02,0.004999999999046968,0.2499999999523484,False
pwl,2,P1_old_full_opt,summer,4,0.04715905786781108,0.0,0.04715905786781108,,False
pwl,2,P1_old_full_opt,summer,5,0.04715905786780995,0.0,0.04715905786780995,,False
pwl,2,P1_old_full_opt,summer,6,1.1717155076739685e-05,0.0,1.1717155076739685e-05,,False
pwl,2,P1_old_full_opt,summer,7,1.1709776371082526e-05,0.0,1.1709776371082526e-05,,False
pwl,2,P1_old_full_opt,summer,8,1.1716140003661956e-05,0.0,1.1716140003661956e-05,,False
pwl,2,P1_old_full_opt,summer,9,1.6632400623597397e-12,0.0,1.6632400623597397e-12,,False
pwl,2,P1_old_full_opt,summer,10,1.4853217601203373e-12,0.0,1.4853217601203373e-12,,False
pwl,2,P1_old_full_opt,summer,11,1.4923517548531107e-12,0.0,1.4923517548531107e-12,,False
pwl,2,P1_old_full_opt,summer,12,1.4636505173128702e-12,0.0,1.4636505173128702e-12,,False
pwl,2,P1_old_full_opt,summer,13,1.4326187227615336e-12,0.0,1.4326187227615336e-12,,False
pwl,2,P1_old_full_opt,summer,14,1.7831875976845462e-12,0.0,1.7831875976845462e-12,,False
pwl,2,P1_old_full_opt,summer,15,0.025000000000072825,0.0,0.025000000000072825,,False
pwl,2,P1_old_full_opt,summer,16,0.04119849338552607,0.0,0.04119849338552607,,False
pwl,2,P1_old_full_opt,summer,17,4.708551518152567e-12,0.0,4.708551518152567e-12,,False
pwl,2,P1_old_full_opt,summer,18,1.8171610016160376e-12,0.0,1.8171610016160376e-12,,False
pwl,2,P1_old_full_opt,summer,19,1.7243153842787226e-12,0.0,1.7243153842787226e-12,,False
pwl,2,P1_old_full_opt,summer,20,1.6745487014145819e-12,0.0,1.6745487014145819e-12,,False
pwl,2,P1_old_full_opt,summer,21,1.5506386920916836e-12,0.0,1.5506386920916836e-12,,False
pwl,2,P1_old_full_opt,summer,22,1.4786702420038348e-12,0.0,1.4786702420038348e-12,,False
pwl,2,P1_old_full_opt,summer,23,1.8120268638733195e-12,0.0,1.8120268638733195e-12,,False
pwl,2,P1_old_full_opt,winter,0,0.047159057867452836,0.0,0.047159057867452836,,False
pwl,2,P1_old_full_opt,winter,1,0.002870644345436618,0.0,0.002870644345436618,,False
pwl,2,P1_old_full_opt,winter,2,1.6757778130976675e-11,0.0,1.6757778130976675e-11,,False
pwl,2,P1_old_full_opt,winter,3,0.047159057868608786,0.0,0.047159057868608786,,False
