point_id,b,S,E,scenario,t,n_feasible,matrix_rank,n_unique_p,n_unique_q,a_P,a_Q,b_PP,b_QQ,b_PQ,relative_max_residual,rmse_mw,lambda_min_cost,lambda_max_cost,lambda_min_over_lambda_max_pct,is_psd_cost
P2_dev_run1,17,0.303,0.404,winter,7,37,5,9,17,-0.0641083515251289,-0.037421557069017876,0.024655856424162115,0.023456510623953326,0.0017715331541924909,0.0006961804399560722,4.719320763866844e-06,0.022986515343629596,0.025125851704485846,91.4855170442867,True
P2_dev_run1,17,0.303,0.404,winter,8,37,5,9,17,-0.07041753830529374,-0.04109553745231241,0.025116194484529706,0.02380419251542518,0.0019764735142960843,0.0006595572843622273,4.872795233802182e-06,0.023274044613912963,0.025646342386041927,90.74995671343727,True
P2_dev_run1,17,0.303,0.404,winter,9,37,5,9,17,-0.07800818035674988,-0.04551308704741979,0.02567647439022657,0.024225437521144814,0.002229087980852272,0.0006233719593890983,5.062230749514844e-06,0.023621074267168377,0.026280837644203008,89.87945737101984,True
P2_dev_run1,17,0.303,0.404,winter,10,37,5,9,17,-0.07854928787003364,-0.0458278881003178,0.025716683865360843,0.024255589198811645,0.0022473491720618258,0.0006210651248824299,5.075936850464423e-06,0.023645858955818416,0.02632641410835407,89.81800126100332,True
P2_dev_run1,17,0.303,0.404,winter,11,37,5,9,17,-0.07650247286465287,-0.04463703313337342,0.025564774678357924,0.024141622201000697,0.002178451360752079,0.0006299680334431619,5.024233744964965e-06,0.02355213989901227,0.02615425698034635,90.05088508807785,True
P2_dev_run1,17,0.303,0.404,winter,12,37,5,9,17,-0.07340384163273345,-0.042833827967017284,0.025335778452628167,0.023969534650778557,0.002075066520998127,0.0006444143362585559,4.946694153180947e-06,0.023410428393044518,0.025894884710362203,90.40560965956533,True
P2_dev_run1,17,0.303,0.404,winter,13,37,5,9,17,-0.06886178064148304,-0.04018972534065169,0.02500229571076458,0.023718145141402913,0.0019255152004094625,0.0006679637995142602,4.835062270241833e-06,0.023202998378268398,0.025517442473899095,90.92995272548156,True
P2_dev_run1,17,0.303,0.404,winter,14,37,5,9,17,-0.07151258826736974,-0.041733004480358896,0.025196587386433784,0.023864764143826545,0.002012507838557172,0.0006538565242616122,4.899799082841649e-06,0.02332403363199759,0.025737317898262738,90.62340421094133,True
P2_dev_run1,17,0.303,0.404,winter,15,37,5,9,17,-0.07292234910853676,-0.04255358725110697,0.025300300437265454,0.023942842274015916,0.002059100788873225,0.0006467712424997144,4.934724232708271e-06,0.023388426116454406,0.025854716594826965,90.46096494878611,True
P2_dev_run1,17,0.303,0.404,winter,16,37,5,9,17,-0.07440953272353447,-0.04341912811553796,0.02540997265374643,0.024025328623223836,0.0021085000131081735,0.0006395912688762766,4.971763975620042e-06,0.0234564001284219,0.025978901148548363,90.29019354705302,True
P2_dev_run1,17,0.303,0.404,winter,17,37,5,9,17,-0.07662426700112186,-0.044707899813099736,0.025573799556437397,0.024148397182115432,0.0021825375581676285,0.0006294245833048772,5.027299491059663e-06,0.023557714108828346,0.02616448262972448,90.03699573277753,True
P2_dev_run1,17,0.303,0.404,winter,18,37,5,9,17,-0.07658366327942584,-0.04468427436519677,0.025570790640403254,0.024146138446734366,0.0021811751119162615,0.000629605561747009,5.026277276512013e-06,0.023555855743720547,0.026161073343417073,90.04162571811268,True
P2_dev_run1,17,0.303,0.404,winter,19,37,5,9,17,-0.07538840178031847,-0.043988769871725106,0.025482306897493787,0.024079688758804094,0.0021411535289325226,0.0006350225402394105,4.996254070780831e-06,0.02350116619103397,0.02606082946526391,90.17812047140833,True
P2_dev_run1,17,0.303,0.404,winter,20,37,5,9,17,-0.07346408461600634,-0.04286889007918978,0.025340219355805892,0.02397287523619105,0.0020770659835507924,0.0006441216519192804,4.9481932914318545e-06,0.023413181597433778,0.025899912994563165,90.39868822087783,True
P2_dev_run1,17,0.303,0.404,winter,21,37,5,9,17,-0.07084510817096135,-0.04134444805077881,0.025147567023496614,0.02382783516183972,0.0019905270036291445,0.0006573103153300862,4.883326119509284e-06,0.02329356019448559,0.025681841990850746,90.70050428152315,True
P2_dev_run1,17,0.303,0.404,winter,22,37,5,9,17,-0.06816097572896317,-0.03978172268052786,0.024950991005750628,0.02367958411949736,0.0019026511052910103,0.0006718832035719987,4.817491193206938e-06,0.023171111363466126,0.025459463761781858,91.01178084610383,True
P2_dev_run1,17,0.303,0.404,winter,23,37,5,9,17,-0.06728491058340566,-0.0392715910485909,0.024887021483290354,0.023631284058571084,0.0018741480759802767,0.0006768904158381773,4.796144431872005e-06,0.023131178093628395,0.025387127448233047,91.11380616336069,True
P2_dev_run1,17,0.303,0.404,shoulder,0,37,5,9,17,-0.058745116734437004,-0.03429679681017102,0.024268384713760176,0.023162649115828653,0.0016008894678457633,0.0007333652336797959,4.591894907232153e-06,0.022742699061751966,0.024688334767836863,92.1192104514898,True
P2_dev_run1,17,0.303,0.404,shoulder,1,37,5,9,17,-0.05364998930703934,-0.0313268763074823,0.023903489210654143,0.022885016855428764,0.001441800014028962,0.0007752905943277057,4.472989849034768e-06,0.022511632896910924,0.02427687316917198,92.7287165033154,True
P2_dev_run1,17,0.303,0.404,shoulder,2,37,5,9,17,-0.05155930929827101,-0.030107864407913746,0.023754631414970463,0.022771584389314658,0.001377370368986823,0.0007947618651273841,4.424579044014931e-06,0.022417009416738288,0.024109206387546833,92.98111707367266,True
