method,M,point_id,scenario,t,q_lp,q_star,abs_err,rel_err,inaccurate,free_zone_width_mvar,max_uncounted_loss_mva,n_free_zone_hours,n_vertex_stuck_hours,n_nonzero_q_hours,frac_in_free_zone,max_pad_mw,max_pad_scenario,max_pad_t,max_pad_unit,max_pad_annual_won_implied,qp_v2_correction,p_ch,p_dis,p_net,s_app,q_penalty,pcs_true,pcs_charged,poly_n,s_cap,norm_true,s_app_deficit,at_s_cap
qp,,P2_dev_run1,shoulder,19,4.2487454576549083e-13,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,4.122873098032457e-14,4.780229210465029e-13,4.367941900661783e-13,6.105753743277483e-13,7.242528480929401e-14,5.176677291737251e-15,2.1727585442788223e-15,128,0.3029087420649499,6.093500997907532e-13,-1.225274536995128e-15,False
qp,,P2_dev_run1,shoulder,20,5.2691618715730703e-14,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,5.712001817716264e-15,4.208026940462056e-14,3.6368267586904294e-14,6.555923067534758e-14,2.1799409022202612e-14,8.296684567134896e-16,6.53982270666079e-16,128,0.3029087420649499,6.402388281068726e-14,-1.5353478646603255e-15,False
qp,,P2_dev_run1,shoulder,21,2.887356595195901e-14,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,8.95734707722263e-16,8.599322109618604e-16,-3.5802496760402525e-17,3.137559623153567e-14,2.884232682662958e-14,8.651335695686578e-16,8.652698047988882e-16,128,0.3029087420649499,2.887358814904897e-14,-2.5020080824867043e-15,False
qp,,P2_dev_run1,shoulder,22,2.7154437435894092e-14,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,8.415835927442146e-16,8.759819626261004e-16,3.439836988188585e-17,2.990264724878748e-14,2.7406412603984684e-14,8.136018256013702e-16,8.221923781195412e-16,128,0.3029087420649499,2.7154459223260865e-14,-2.7481880255266165e-15,False
qp,,P2_dev_run1,shoulder,23,2.6915845581712214e-14,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,6.0168058368822284e-15,8.269660626782159e-16,-5.1898397742040125e-15,3.025532354775299e-14,2.2940033991942993e-14,6.666535541034047e-16,6.882010197582904e-16,128,0.3029087420649499,2.741162491098415e-14,-2.8436986367688386e-15,False
qp,,P3_dev_run0,summer,0,0.14913997115349437,,,,False,0.02564558380644334,0.0007693675141933009,,,26,,,,,,,True,5.487560922767618e-16,0.17289467365859887,0.1728946736585983,0.22826278616897547,0.055368112510377356,0.0016631064511774861,0.0016610433753113222,128,1.0446852655375334,0.22833155536451447,6.876919553899796e-05,False
qp,,P3_dev_run0,summer,1,8.377903368702874e-13,,,,False,0.02564558380644334,0.0007693675141933009,,,26,,,,,,,True,4.178277070082918e-14,6.247396088129484e-15,-3.5535374612699694e-14,8.85913521760206e-13,8.203181713105158e-13,2.4090247518308377e-14,2.4609545139315498e-14,128,1.0446852655375334,8.385436252229781e-13,-4.7369896537227855e-14,False
qp,,P3_dev_run0,summer,2,5.674558645775657e-07,,,,False,0.02564558380644334,0.0007693675141933009,,,26,,,,,,,True,5.960725870483121e-07,2.7600314852459214e-16,-5.960725867723089e-07,8.227395174990051e-07,2.2666693178657236e-07,6.807452168263397e-09,6.800007953597177e-09,128,1.0446852655375334,8.229876590477553e-07,2.4814154875024053e-10,False
qp,,P3_dev_run0,summer,3,5.142038878130579e-07,,,,False,0.02564558380644334,0.0007693675141933009,,,26,,,,,,,True,5.960725914408474e-07,3.9714088900220373e-16,-5.960725910437065e-07,7.869781202916913e-07,1.9090553017224814e-07,5.734285908109074e-09,5.727165905167449e-09,128,1.0446852655375334,7.872154546473421e-07,2.3733435565073607e-10,False
qp,,P3_dev_run0,summer,4,0.12015260774106562,,,,False,0.02564558380644334,0.0007693675141933009,,,26,,,,,,,True,0.18974170211257915,5.956746634836397e-16,-0.18974170211257857,0.22451767177378945,0.03477596966121155,0.0010453083167543838,0.0010432790898363474,128,1.0446852655375334,0.224585312671058,6.764089726854494e-05,False
qp,,P3_dev_run0,summer,5,0.12314978372804958,,,,False,0.02564558380644334,0.0007693675141933009,,,26,,,,,,,True,0.19447476021309823,5.954487781044472e-16,-0.19447476021309765,0.23011820751912324,0.03564344730602618,0.0010713832646441137,0.0010693034191807864,128,1.0446852655375334,0.23018753570123474,6.932818211149994e-05,False
