method,M,point_id,scenario,t,q_lp,q_star,abs_err,rel_err,inaccurate,free_zone_width_mvar,max_uncounted_loss_mva,n_free_zone_hours,n_vertex_stuck_hours,n_nonzero_q_hours,frac_in_free_zone,max_pad_mw,max_pad_scenario,max_pad_t,max_pad_unit,max_pad_annual_won_implied,qp_v2_correction,p_ch,p_dis,p_net,s_app,q_penalty,pcs_true,pcs_charged
qp,,P2_dev_run1,summer,0,0.09218594538395664,0.1,0.00781405461604337,0.0781405461604337,False,0.02969919351985686,0.0014590278183243305,12,0,26,0.46153846153846156,6.14883865398783e-14,winter,9,0,1.2789584400294687e-06,True,1.700459724847413e-16,0.1724677732297842,0.17246777322978404,0.19461747970014986,0.022149706470365904,0.0006927413169476788,0.0006644911941109777
qp,,P2_dev_run1,summer,1,3.933030376571126e-14,0.0,3.933030376571126e-14,,False,0.02969919351985686,0.0014590278183243305,12,0,26,0.46153846153846156,6.14883865398783e-14,winter,9,0,1.2789584400294687e-06,True,1.0267750295782799e-15,0.0,-1.0267750295782799e-15,4.5424473028318434e-14,4.5534988436780136e-14,1.1495078755272257e-15,1.3660496531034053e-15
qp,,P2_dev_run1,summer,2,3.1782086127914963e-07,0.0,3.1782086127914963e-07,,False,0.02969919351985686,0.0014590278183243305,12,0,26,0.46153846153846156,6.14883865398783e-14,winter,9,0,1.2789584400294687e-06,True,5.946008084357593e-07,1.60600083374659e-16,-5.946008082751592e-07,6.709643169990827e-07,7.636350890239261e-08,2.3883001573094706e-09,2.2909052670717803e-09
qp,,P2_dev_run1,summer,3,3.1782075148527036e-07,0.0,3.1782075148527036e-07,,False,0.02969919351985686,0.0014590278183243305,12,0,26,0.46153846153846156,6.14883865398783e-14,winter,9,0,1.2789584400294687e-06,True,5.946008107612475e-07,1.7767512768659334e-16,-5.946008105835724e-07,6.709642575295209e-07,7.636344712153668e-08,2.388298596437741e-09,2.2909034136461027e-09
qp,,P2_dev_run1,summer,4,0.09130946106064894,0.05,0.041309461060648936,0.8261892212129787,False,0.02969919351985686,0.0014590278183243305,12,0,26,0.46153846153846156,6.14883865398783e-14,winter,9,0,1.2789584400294687e-06,True,0.18941712581515877,1.7606877169992176e-16,-0.1894171258151586,0.20994122361383658,0.020524097798678174,0.0006257854185239336,0.0006157229339603458
qp,,P2_dev_run1,summer,5,0.0908991290166128,0.0,0.0908991290166128,,False,0.02969919351985686,0.0014590278183243305,12,0,26,0.46153846153846156,6.14883865398783e-14,winter,9,0,1.2789584400294687e-06,True,0.19385065790659609,1.758892224689643e-16,-0.19385065790659592,0.21388024589482627,0.020029587988230544,0.0006076147238047105,0.0006008876396469168
qp,,P2_dev_run1,summer,6,6.0385943603436285e-06,0.0,6.0385943603436285e-06,,False,0.02969919351985686,0.0014590278183243305,12,0,26,0.46153846153846156,6.14883865398783e-14,winter,9,0,1.2789584400294687e-06,True,1.1297415354821467e-05,1.7164280137099078e-16,-1.1297415354649824e-05,1.2748320842554065e-05,1.450905488094304e-06,4.537767465819987e-08,4.3527164642829155e-08
qp,,P2_dev_run1,summer,7,6.038594367489889e-06,0.0,6.038594367489889e-06,,False,0.02969919351985686,0.0014590278183243305,12,0,26,0.46153846153846156,6.14883865398783e-14,winter,9,0,1.2789584400294687e-06,True,1.1297415353965008e-05,1.3894053518249003e-16,-1.1297415353826068e-05,1.27483208455363e-05,1.4509054919156247e-06,4.53776747621796e-08,4.352716475746878e-08
qp,,P2_dev_run1,summer,8,9.271549164822574e-06,0.0,9.271549164822574e-06,,False,0.02969919351985686,0.0014590278183243305,12,0,26,0.46153846153846156,6.14883865398783e-14,winter,9,0,1.2789584400294687e-06,True,1.1297415353455692e-05,1.130739783948272e-16,-1.1297415353342619e-05,1.4544454295253925e-05,3.247038942096435e-06,9.952240004185214e-08,9.741116826289314e-08
qp,,P2_dev_run1,summer,9,5.790333244413639e-14,0.0,5.790333244413639e-14,,False,0.02969919351985686,0.0014590278183243305,12,0,26,0.46153846153846156,6.14883865398783e-14,winter,9,0,1.2789584400294687e-06,True,2.378113651124977e-14,0.0,-2.378113651124977e-14,6.709825939862135e-14,4.4632559573796383e-14,1.1644648704518253e-15,1.3389767872138927e-15
