bus,scenario,t,P_assumed,S_assumed,lhs_0,a_slope,q_star,gain_won
18,summer,0,0.0,0.3,0.0008136363859580239,0.025,0.0,0.0
18,summer,0,0.0,1.0,0.0008136363859580239,0.025,0.0,0.0
18,summer,0,0.0,2.4,0.0008136363859580239,0.025,0.0,0.0
18,summer,0,0.1,0.3,0.0008136363859580239,0.025,0.002504221044295057,0.13305153000267228
18,summer,0,0.1,1.0,0.0008136363859580239,0.025,0.002504221044256188,0.13305153000266598
18,summer,0,0.1,2.4,0.0008136363859580239,0.025,0.002504221044106717,0.13305153000263154
18,summer,0,0.3,0.3,0.0008136363859580239,0.025,0.0,0.0
18,summer,0,0.3,1.0,0.0008136363859580239,0.025,0.006510317031388258,0.34591650814819397
18,summer,0,0.3,2.4,0.0008136363859580239,0.025,0.006510317031386872,0.3459165081482938
18,summer,0,0.5,1.0,0.0008136363859580239,0.025,0.009573431132747097,0.5086857510068958
18,summer,0,0.5,2.4,0.0008136363859580239,0.025,0.009573431132746996,0.5086857510068883
18,summer,0,1.0,1.0,0.0008136363859580239,0.025,0.0,0.0
18,summer,0,1.0,2.4,0.0008136363859580239,0.025,0.014794271789573208,0.7861233184092077
19,summer,0,0.0,0.3,0.001414529875417556,0.025,0.0,0.0
19,summer,0,0.0,1.0,0.001414529875417556,0.025,0.0,0.0
19,summer,0,0.0,2.4,0.001414529875417556,0.025,0.0,0.0
19,summer,0,0.1,0.3,0.001414529875417556,0.025,0.004356209543156706,0.4022634150259617
19,summer,0,0.1,1.0,0.001414529875417556,0.025,0.004356209543324656,0.40226341502594487
19,summer,0,0.1,2.4,0.001414529875417556,0.025,0.004356209543324663,0.4022634150259461
19,summer,0,0.3,0.3,0.001414529875417556,0.025,0.0,0.0
