method,M,point_id,scenario,t,q_lp,q_star,abs_err,rel_err
pwl,2,P1_old_full_opt,winter,6,6.239149457000648e-06,0.0,6.239149457000648e-06,
pwl,2,P1_old_full_opt,winter,7,6.475377893688672e-06,0.0,6.475377893688672e-06,
pwl,2,P1_old_full_opt,winter,8,6.222441438841481e-06,0.0,6.222441438841481e-06,
pwl,2,P1_old_full_opt,winter,9,0.05288322351929991,0.0,0.05288322351929991,
pwl,2,P1_old_full_opt,winter,10,0.047159057955259286,0.0,0.047159057955259286,
pwl,2,P1_old_full_opt,winter,11,0.12884094195823206,0.0,0.12884094195823206,
pwl,2,P1_old_full_opt,winter,12,7.696756165851708e-10,0.0,7.696756165851708e-10,
pwl,2,P1_old_full_opt,winter,13,6.354713733002532e-10,0.0,6.354713733002532e-10,
pwl,2,P1_old_full_opt,winter,14,6.52058066073517e-10,0.0,6.52058066073517e-10,
pwl,2,P1_old_full_opt,winter,15,6.690172626113591e-10,0.0,6.690172626113591e-10,
pwl,2,P1_old_full_opt,winter,16,7.334203999407357e-10,0.0,7.334203999407357e-10,
pwl,2,P1_old_full_opt,winter,17,8.32069791185771e-10,0.0,8.32069791185771e-10,
pwl,2,P1_old_full_opt,winter,18,7.355821807178376e-10,0.0,7.355821807178376e-10,
pwl,2,P1_old_full_opt,winter,19,7.109681468384581e-10,0.0,7.109681468384581e-10,
pwl,2,P1_old_full_opt,winter,20,7.953512137635194e-10,0.0,7.953512137635194e-10,
pwl,2,P1_old_full_opt,winter,21,5.2347806227520366e-08,0.0,5.2347806227520366e-08,
pwl,2,P1_old_full_opt,winter,22,0.022746954066422638,0.02,0.0027469540664226376,0.1373477033211319
pwl,2,P1_old_full_opt,winter,23,0.047159059674162146,0.0,0.047159059674162146,
pwl,2,P1_old_full_opt,shoulder,0,0.04715905785630368,0.0,0.04715905785630368,
pwl,2,P1_old_full_opt,shoulder,1,0.0007689339885826347,0.0,0.0007689339885826347,
pwl,2,P1_old_full_opt,shoulder,2,2.3763461015700893e-09,0.0,2.3763461015700893e-09,
pwl,2,P1_old_full_opt,shoulder,3,0.047159057827325636,0.0,0.047159057827325636,
pwl,2,P1_old_full_opt,shoulder,4,0.047159057869685016,0.0,0.047159057869685016,
pwl,2,P1_old_full_opt,shoulder,5,0.012193732923402607,0.02,0.007806267076597394,0.3903133538298697
pwl,2,P1_old_full_opt,shoulder,6,6.222757223929545e-06,0.0,6.222757223929545e-06,
pwl,2,P1_old_full_opt,shoulder,7,6.222245433508166e-06,0.0,6.222245433508166e-06,
pwl,2,P1_old_full_opt,shoulder,8,4.319630546475848e-11,0.0,4.319630546475848e-11,
pwl,2,P1_old_full_opt,shoulder,9,3.469005021707991e-11,0.0,3.469005021707991e-11,
pwl,2,P1_old_full_opt,shoulder,10,0.047159057942517416,0.0,0.047159057942517416,
pwl,2,P1_old_full_opt,shoulder,11,0.0027733161370033467,0.0,0.0027733161370033467,
pwl,2,P1_old_full_opt,shoulder,12,2.442021654115002e-11,0.0,2.442021654115002e-11,
pwl,2,P1_old_full_opt,shoulder,13,2.2751063146884454e-11,0.0,2.2751063146884454e-11,
pwl,2,P1_old_full_opt,shoulder,14,2.1897293753592546e-11,0.0,2.1897293753592546e-11,
pwl,2,P1_old_full_opt,shoulder,15,2.5820415401405033e-11,0.0,2.5820415401405033e-11,
pwl,2,P1_old_full_opt,shoulder,16,7.004113682529255e-11,0.0,7.004113682529255e-11,
pwl,2,P1_old_full_opt,shoulder,17,1.1494886179977681e-10,0.0,1.1494886179977681e-10,
pwl,2,P1_old_full_opt,shoulder,18,6.320106062551909e-11,0.0,6.320106062551909e-11,
pwl,2,P1_old_full_opt,shoulder,19,1.7578078538985247e-10,0.0,1.7578078538985247e-10,
pwl,2,P1_old_full_opt,shoulder,20,4.9174227513040144e-11,0.0,4.9174227513040144e-11,
